rpm_bp,load_bp,n_logs,total_samples,strict_n,strict_pct,active_n,active_pct,above_1pct_strict
3800,0.7,35,3354592,6486,0.7994,18207,0.646,False
3800,0.8,35,3354592,4341,0.535,29596,1.0501,False
3800,0.9,35,3354592,1373,0.1692,23595,0.8372,False
3800,1.0,35,3354592,410,0.0505,19438,0.6897,False
3800,1.1,35,3354592,118,0.0145,16197,0.5747,False
3800,1.2,35,3354592,46,0.0057,8338,0.2958,False
3800,1.3,35,3354592,32,0.0039,6565,0.2329,False
3800,1.5,35,3354592,37,0.0046,3660,0.1299,False
3800,1.75,35,3354592,6,0.0007,1377,0.0489,False
3800,2.0,35,3354592,0,0.0,657,0.0233,False
3800,2.25,35,3354592,0,0.0,540,0.0192,False
3800,2.5,35,3354592,0,0.0,1394,0.0495,False
3800,3.5,35,3354592,0,0.0,92,0.0033,False
3800,4.0,35,3354592,0,0.0,0,0.0,False
4150,0.2,35,3354592,185,0.0228,4962,0.1761,False
4150,0.3,35,3354592,267,0.0329,1042,0.037,False
4150,0.5,35,3354592,592,0.073,1503,0.0533,False
4150,0.6,35,3354592,272,0.0335,919,0.0326,False
4150,0.7,35,3354592,243,0.0299,1448,0.0514,False
4150,0.8,35,3354592,16,0.002,943,0.0335,False
4150,0.9,35,3354592,0,0.0,738,0.0262,False
4150,1.0,35,3354592,0,0.0,827,0.0293,False
4150,1.1,35,3354592,6,0.0007,720,0.0255,False
4150,1.2,35,3354592,4,0.0005,442,0.0157,False
4150,1.3,35,3354592,16,0.002,688,0.0244,False
4150,1.5,35,3354592,0,0.0,722,0.0256,False
4150,1.75,35,3354592,0,0.0,438,0.0155,False
4150,2.0,35,3354592,0,0.0,280,0.0099,False
4150,2.25,35,3354592,0,0.0,215,0.0076,False
4150,2.5,35,3354592,0,0.0,708,0.0251,False
4150,3.5,35,3354592,0,0.0,317,0.0112,False
4150,4.0,35,3354592,0,0.0,13,0.0005,False
4450,0.2,35,3354592,62,0.0076,2523,0.0895,False
4450,0.3,35,3354592,40,0.0049,301,0.0107,False
4450,0.5,35,3354592,202,0.0249,525,0.0186,False
4450,0.6,35,3354592,129,0.0159,365,0.013,False
4450,0.7,35,3354592,19,0.0023,340,0.0121,False
4450,0.8,35,3354592,0,0.0,165,0.0059,False
4450,0.9,35,3354592,0,0.0,251,0.0089,False
4450,1.0,35,3354592,0,0.0,168,0.006,False
4450,1.1,35,3354592,0,0.0,161,0.0057,False
4450,1.2,35,3354592,0,0.0,294,0.0104,False
