rom_rev,log_path,start_time,n_events,n_signals,signal_set,dominant_signal,rpm_mean,load_mean,app_mean,throttle_mean
20.12,logs/5-17 20.12/log0002.csv,7670.0,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2830.0,0.17629241889249447,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,7709.8,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2627.0,0.181811844269959,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7776.36,2,2,afr_osc+avcs_oscillation,avcs_oscillation,2667.5,0.17791997027339201,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7779.52,2,2,ffb_wbo2_divergence+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,2663.0,0.175774706062067,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7786.96,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2498.3333333333335,0.1845476503978267,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,7787.96,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2486.0,0.185822021116139,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,7792.56,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2418.5,0.2115512554024685,1.175,7.84
20.12,logs/5-17 20.12/log0002.csv,7803.48,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,1743.5,0.22625770776454351,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,7814.48,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1195.0,0.2782212073460435,0.0,5.1
20.12,logs/5-17 20.12/log0002.csv,7888.16,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1589.0,0.2475689246475615,0.0,6.47
20.12,logs/5-17 20.12/log0002.csv,7910.44,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,1994.5,0.2247427916141175,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,7916.84,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,1865.0,0.2767244641521415,3.53,8.625
20.12,logs/5-17 20.12/log0002.csv,7930.16,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1356.0,0.2790254740230555,0.0,5.88
20.12,logs/5-17 20.12/log0002.csv,8039.88,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2341.0,0.194837492221914,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,8134.56,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,3218.5,0.156536003311399,0.0,8.435
20.12,logs/5-17 20.12/log0002.csv,8203.32,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1514.5,0.25297508771106547,0.0,6.47
20.12,logs/5-17 20.12/log0002.csv,8294.24,2,2,afr_osc+avcs_oscillation,avcs_oscillation,2420.5,0.23273506209425,2.94,9.41
20.12,logs/5-17 20.12/log0002.csv,8344.28,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2840.0,0.16672410271687899,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,8373.68,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,4013.0,0.18657617235922352,0.0,10.98
20.12,logs/5-17 20.12/log0002.csv,8493.92,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,timing_osc,3277.6666666666665,0.169837843162288,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,8536.72,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,3090.5,0.18211567113639449,0.39,8.825
20.12,logs/5-17 20.12/log0002.csv,8537.36,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,timing_osc,3037.6666666666665,0.17946543126054934,0.6533333333333333,8.63
20.12,logs/5-17 20.12/log0002.csv,8627.16,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,3181.3333333333335,0.17427722438091497,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,8649.56,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2847.0,0.1751521998268445,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,8678.92,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2597.0,0.179728559052844,0.0,7.84
