log_date,rom_rev,log_path,mafv_bin,mafgs_bin,sample_count,mean_correction,median_correction,std_co,std_correction
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.7327,50.52607,286,-0.1530069930069929,0.0,,2.4367962962514143
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.7327,58.53896,1086,-0.0682965009208103,0.0,,1.5751429599449829
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.7327,67.17062,16,0.439375,0.0,,1.7575
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.8274,58.53896,7,-1.0057142857142858,0.0,,1.7322803578218042
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.8274,67.17062,162,-0.6022222222222222,0.0,,1.4146522518940197
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.8274,72.78947,2,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.9125,67.17062,23,-0.237391304347826,0.0,,1.6729403004924766
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.9125,72.78947,145,-0.6084137931034482,0.0,,1.3912707400181508
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.9125,84.14777,4,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.99,72.78947,3,-0.7799999999999999,0.0,,1.350999629903724
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.99,84.14777,55,-0.0425454545454545,0.0,,0.3155255356327973
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.99,89.23958,4,-0.585,0.0,,1.17
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.0654,84.14777,3,-1.0433333333333332,0.0,,1.8071063425635283
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.0654,89.23958,30,-0.156,0.0,,0.5936770281837621
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.1508,89.23958,1,0.0,0.0,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.1508,103.6679,19,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.1508,112.0047,1,0.0,0.0,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.26,112.0047,17,-0.1376470588235294,0.0,,0.5675333625850191
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.408,112.0047,3,-1.5599999999999998,-2.34,,1.3509996299037244
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.408,135.7898,6,-0.3899999999999999,0.0,,0.9553009996854396
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.52,135.7898,4,-0.585,0.0,,1.17
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.52,161.8488,9,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.6137,161.8488,5,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.6137,172.4018,2,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.7098,172.4018,2,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.7098,177.8987,2,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.84,203.51,4,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,3.9677,232.2782,5,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,4.11,232.2782,1,0.0,0.0,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,4.11,262.9586,9,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,4.11,286.0545,2,0.0,0.0,,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,4.2338,286.0545,12,0.0,0.0,,0.0
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.1804,3.89676,1,-1.5625,-1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.2201,3.89676,3,-1.0416666666666667,-0.78125,,2.743659831472068
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.28,3.89676,5,-2.5,-1.5625,,1.6937096397405311
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.28,4.399962,5,-6.5625100000000005,-3.125,,6.596842580488791
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3021,3.89676,2,-2.34375,-2.34375,,2.209708691207961
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3021,4.399962,1,5.46875,5.46875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3021,4.699582,3,3.6458333333333335,3.125,,6.2662549039145645
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3628,4.399962,1,-1.5625,-1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3628,4.699582,1,-6.25,-6.25,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3628,5.624956,6,-2.9947916666666665,-2.734375,,1.4334748900544672
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,3.89676,1,1.5625,1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,4.399962,1,-3.90625,-3.90625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,4.699582,3,-1.8229166666666667,-1.5625,,1.1933790872280834
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,5.624956,6,-3.255208333333333,-3.125,,1.741095276088206
