log_date,rom_rev,log_path,pull_id,entry_condition,pedal_on_t,pedal_on_RPM,pedal_on_mrp,pedal_on_mph,app100_t_offset,app100_RPM,app100_mrp,thr100_t_offset,thr100_RPM,thr100_mrp,peak_mrp,peak_t_offset,peak_RPM,time_pedal_to_peak,time_app100_to_peak,time_thr100_to_peak,avcs_at_pedal_on,avcs_at_peak,avcs_max,wgdc_at_peak,wgdc_max,peak_mph,target_at_peak,target_attainment,min_fbkc,knock_during,duration_s,min_flkc,flkc_events_during
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,15,post_partial,5168.32,3296.0,2.17,83.0,,,,,,,11.01,1.680000000000291,3444.0,1.680000000000291,,,22.0,28.0,28.0,68.24,70.2,87.0,11.62,0.9475043029259896,0.0,0,1.680000000000291,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,16,post_partial,5329.28,3018.0,3.76,76.0,,,,,,,5.21,0.4800000000004729,3047.0,0.4800000000004729,,,26.0,27.0,28.0,72.55,72.94,77.0,8.66,0.6016166281755196,0.0,0,0.5600000000004002,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,17,post_partial,5377.32,3317.0,2.31,84.0,,,,,,,6.23,0.5200000000004366,3351.0,0.5200000000004366,,,22.0,27.0,27.0,69.02,69.41,85.0,11.18,0.5572450805008945,0.0,0,0.5600000000004002,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,18,post_dfco,5438.56,3052.0,-2.18,49.0,,,,,,,13.04,2.5999999999994543,3729.0,2.5999999999994543,,,19.0,27.0,28.0,71.76,75.29,61.0,14.26,0.9144460028050492,0.0,0,2.7999999999992724,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,19,post_partial,5490.56,4416.0,1.59,53.0,,,,,,,15.22,1.0399999999999636,4967.0,1.0399999999999636,,,10.0,4.0,11.0,59.61,70.2,63.0,14.26,1.067321178120617,0.0,0,1.519999999999527,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,20,post_dfco,5493.2,4687.0,-6.68,67.0,,,,,,,18.99,0.9600000000000364,4418.0,0.9600000000000364,,,3.0,14.0,19.0,56.08,67.84,75.0,17.57,1.0808195788275468,-1.4,1,1.5600000000004002,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,21,post_partial,5961.04,2796.0,1.15,70.0,,,,,,,5.21,1.2399999999997815,2885.0,1.2399999999997815,,,22.0,28.0,28.0,74.12,74.9,74.0,8.37,0.6224611708482677,0.0,0,1.6000000000003638,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,22,post_dfco,6857.56,4023.0,-7.55,28.0,,,,,,,5.5,1.0799999999999272,3492.0,1.0799999999999272,,,2.0,25.0,25.0,74.9,76.86,35.0,13.11,0.4195270785659802,0.0,0,1.1199999999998909,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,23,post_partial,7513.84,2795.0,0.86,45.0,,,,,,,6.37,1.7200000000002549,3095.0,1.7200000000002549,,,22.0,29.0,29.0,71.76,74.9,50.0,9.33,0.6827438370846731,0.0,0,1.9200000000000728,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,24,post_dfco,8272.96,3761.0,-4.36,44.0,,,,,,,5.65,1.2000000000007276,3990.0,1.2000000000007276,,,3.0,21.0,22.0,70.2,73.73,48.0,16.09,0.3511497824735861,0.0,0,1.2000000000007276,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,25,post_partial,8280.04,3652.0,1.15,58.0,,,,,,,11.88,1.4799999999995634,3938.0,1.4799999999995634,,,17.0,23.0,26.0,69.8,74.12,64.0,16.46,0.7217496962332929,0.0,0,1.5199999999986176,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,26,post_partial,8312.36,3010.0,3.04,76.0,,,,,,,8.26,1.559999999999491,3135.0,1.559999999999491,,,24.0,28.0,29.0,70.59,72.94,81.0,9.96,0.8293172690763051,0.0,0,2.279999999998836,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,27,post_partial,8488.24,3117.0,1.15,79.0,,,,,,,7.97,1.8400000000001453,3266.0,1.8400000000001453,,,22.0,28.0,28.0,69.8,71.76,83.0,10.18,0.7829076620825147,0.0,0,1.8800000000010184,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,28,post_dfco,8699.52,4046.0,-1.75,65.0,,,,,,,9.71,1.1999999999989086,4306.0,1.1999999999989086,,,13.0,17.0,20.0,69.02,69.8,69.0,16.05,0.6049844236760125,0.0,0,1.1999999999989086,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,29,post_partial,8858.56,3110.0,-0.15,78.0,,,,,,,7.24,2.319999999999709,3266.0,2.319999999999709,,,19.0,27.0,28.0,69.8,71.76,83.0,10.1,0.7168316831683169,0.0,0,2.399999999999636,,
