ROM Size: 1048576 bytes (1024 KB)

================================================================================
ROM HOLES (0xFF regions >= 32 bytes)
================================================================================
Total free space: 195,476 bytes (190.9 KB)

  0x0DAE8C-0x0F8900  121460 bytes (118.6 KB)
  0x0AF998-0x0BB400   47720 bytes (46.6 KB)
  0x0FC004-0x0FFAF8   15092 bytes (14.7 KB)
  0x0FA54C-0x0FC000    6836 bytes (6.7 KB)
  0x0BEDB8-0x0BF600    2120 bytes (2.1 KB)
  0x0BF878-0x0C0000    1928 bytes (1.9 KB)
  0x0FFB00-0x0FFB80     128 bytes (0.1 KB)
  0x000F74-0x000FB0      60 bytes (0.1 KB)
  0x001FD8-0x001FFC      36 bytes (0.0 KB)
  0x000FBC-0x000FDC      32 bytes (0.0 KB)
  0x0CD2C6-0x0CD2E6      32 bytes (0.0 KB)
  0x0D39EA-0x0D3A0A      32 bytes (0.0 KB)

================================================================================
ROM REGION MAP (256-byte block classification)
================================================================================

Region type distribution:
  code              444928 bytes ( 42.4%)  #####################
  0x095700-0x095A00     768 bytes  code
  0x095A00-0x095D00     768 bytes  float_data
  0x095E00-0x096000     512 bytes  float_data
  0x096000-0x096500    1280 bytes  code
  0x096600-0x096A00    1024 bytes  code
  0x096B00-0x096F00    1024 bytes  code
  0x096F00-0x097300    1024 bytes  float_data
  0x097300-0x097A00    1792 bytes  code
  0x097B00-0x097E00     768 bytes  code
  0x097F00-0x098300    1024 bytes  mixed_data
  0x098300-0x098600     768 bytes  code
  0x098900-0x098F00    1536 bytes  code
  0x099000-0x099200     512 bytes  code
  0x099200-0x099500     768 bytes  float_data
  0x099500-0x099700     512 bytes  code
  0x099A00-0x099E00    1024 bytes  code
  0x099F00-0x09A100     512 bytes  code
  0x09A200-0x09A700    1280 bytes  code
  0x09A700-0x09C200    6912 bytes  float_data
  0x09C300-0x09CA00    1792 bytes  float_data
  0x09CB00-0x09CE00     768 bytes  float_data
  0x09CE00-0x09D200    1024 bytes  code
  0x09D200-0x09D400     512 bytes  float_data
  0x09D800-0x09DD00    1280 bytes  code
  0x09DD00-0x09E100    1024 bytes  float_data
  0x09E200-0x09E500     768 bytes  float_data
  0x09EA00-0x09ED00     768 bytes  float_data
  0x09ED00-0x09EF00     512 bytes  code
  0x09EF00-0x09F200     768 bytes  float_data
  0x09F300-0x09F600     768 bytes  float_data
  0x09F600-0x09FB00    1280 bytes  code
  0x09FB00-0x09FD00     512 bytes  float_data
  0x09FE00-0x0A0200    1024 bytes  float_data
  0x0A0200-0x0A0600    1024 bytes  code
  0x0A0600-0x0A0800     512 bytes  float_data
  0x0A0900-0x0A0C00     768 bytes  float_data
  0x0A0E00-0x0A1000     512 bytes  code
  0x0A1000-0x0A1200     512 bytes  float_data
  0x0A1200-0x0A1400     512 bytes  code
  0x0A1500-0x0A1700     512 bytes  code
  0x0A1700-0x0A1A00     768 bytes  float_data
  0x0A1A00-0x0A1C00     512 bytes  code
  0x0A1C00-0x0A2200    1536 bytes  float_data
  0x0A2200-0x0A2500     768 bytes  code
  0x0A2500-0x0A2B00    1536 bytes  float_data
  0x0A2C00-0x0A2E00     512 bytes  float_data
  0x0A2F00-0x0A3300    1024 bytes  float_data
  0x0A3300-0x0A3500     512 bytes  code
  0x0A3500-0x0A3900    1024 bytes  float_data
  0x0A3A00-0x0A3D00     768 bytes  float_data
  0x0A3D00-0x0A3F00     512 bytes  code
  0x0A3F00-0x0A4100     512 bytes  float_data
  0x0A4200-0x0A4500     768 bytes  float_data
  0x0A4500-0x0A4F00    2560 bytes  code
  0x0A4F00-0x0A5200     768 bytes  float_data
