AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  0xC7A60     0xABBA4     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7AB0     0xABBBC     1D          8   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7B6C     0xABC1C     2D      10x14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7DB4     0xABDD4     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7ECC     0xABDF0     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7FE4     0xABE0C     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC80FC     0xABE28     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8214     0xABE44     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC832C     0xABE60     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8444     0xABE7C     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC855C     0xABE98     2D       7x14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8664     0xABED0     2D        4x5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8794     0xABF00     2D      16x16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8B70     0xABFD8     2D        8x5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC8CE4     0xAC014     2D      24x13   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC92B8     0xAC064     2D      24x13   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC9838     0xAC08C     2D      18x14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC9CC8     0xAC0B4     2D      18x14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCA158     0xAC0DC     2D      18x14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCA82C     0xAC104     2D      18x16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCADC4     0xAC12C     2D      18x14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCB25C     0xAC154     2D        5x5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCB4B8     0xAC1A4     2D        9x9   float32    NONE  (UNKNOWN - needs RomRaider definition)
