sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC
1749,75.76,15.0572,14.7,14.6928,31,0.78125,0,0.78,1434.5,0.334611363,0,18,64.4,8,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.060266667
1750,75.8,15.0147,14.7,14.6928,31,0.78125,0,0.78,1437,0.334029228,0,18,64.4,8,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.75904
1751,75.84,15.0147,14.7,14.6928,31,0.78125,0,0.78,1441.25,0.333460538,0,17.5,64.4,8.01,1.54,0,8.23529,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.7672
1752,75.88,15.0147,14.7,14.6928,31,0.78125,0,0.78,1444.25,0.333183313,0,17.5,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.081066667
1753,75.92,15.0978,14.7,14.6928,31,0.78125,0,0.78,1431.75,0.33525406,0,18.5,64.4,8,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.74896
1754,75.96,14.9296,14.7,14.6928,31,0.78125,0,0.78,1431.5,0.337408313,0,18.5,64.4,8.05,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.74848
1755,76,14.887,14.7,14.6928,31,0.78125,0,0.78,1428.25,0.33817609,0,18.5,64.4,8.05,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.046933333
1756,76.04,15.0978,14.7,14.6928,31,0.78125,0,0.78,1434.5,0.33628442,0,18,64.4,8.04,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.75424
1757,76.08,14.9721,14.7,14.6928,31,0.78125,0,0.78,1421.25,0.338153034,0,19,64.4,8.01,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.7288
1758,76.12,14.6782,14.7,14.6928,31,0.78125,0,0.78,1421.75,0.337190083,0,19,64.4,7.99,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.72976
1759,76.16,14.887,14.7,14.6928,31,0.78125,0,0.78,1419.25,0.336938524,0,19,64.4,7.97,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.72496
1760,76.2,14.8039,14.7,14.6928,31,0.78125,0,0.78,1422.75,0.337796521,0,19,64.4,8.01,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.73168
1761,76.24,14.887,14.7,14.6928,31,0.78125,0,0.78,1412.5,0.340672566,0,19.5,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.013333333
1762,76.28,15.0572,14.7,14.6928,31,0.78125,0,0.78,1410.5,0.339879475,0,20,64.4,7.99,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.009066667
1763,76.32,15.0147,14.7,14.6928,31,0.78125,0,0.78,1416,0.338983051,0,19,64.4,8,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.0208
1764,76.36,14.9296,14.7,14.6928,31,0.78125,0,0.78,1425.25,0.336783021,0,18.5,64.4,8,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.040533333
1765,76.4,15.0147,14.7,14.6928,31,0.78125,0,0.78,1415.5,0.339526669,0,19,64.4,8.01,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.019733333
1766,76.44,15.0147,14.7,14.6928,31,0.78125,0,0.78,1427.25,0.337992643,0,18,64.4,8.04,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.0448
1767,76.48,15.0572,14.7,14.6928,31,0.78125,0,0.78,1430.75,0.33548838,0,18,64.4,8,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.052266667
1768,76.52,14.7188,14.7,14.6928,31,0.78125,0,0.78,1442,0.33370319,0,17,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.076266667
1769,76.56,14.9296,14.7,14.6928,31,0.78125,0,0.78,1445.75,0.332837628,0,16.5,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.084266667
1770,76.6,14.9296,14.7,14.6928,31,0.78125,0,0.78,1428.5,0.33559678,0,18,64.4,7.99,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.047466667
1771,76.64,14.8464,14.7,14.6928,31,0.78125,0,0.78,1430,0.336503497,0,18,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.050666667
1772,76.68,15.0572,14.7,14.6928,31,0.78125,0,0.78,1433.75,0.334367916,0,17.5,64.4,7.99,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.058666667
1773,76.72,14.8039,14.7,14.6928,31,0.78125,0,0.78,1422.25,0.336227808,0,18.5,64.4,7.97,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.034133333
1774,76.76,14.9296,14.7,14.6928,31,0.78125,0,0.78,1405.5,0.339807898,0,20,64.4,7.96,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.69856
